objectid,parentid,title,creator,date,date-is-approximate?,entry_date,external_resources,address,description,space_syntax,subject,building_type,conservation_state,bibliography,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
bu001,,Depot Building,,1959,,,https://www.sbb.ch/en?nach=9470+Buchs+SG+Lagerstrasse+12.1|SBB Journey Planner;https://www.wikidata.org/wiki/Q127695047|Wikidata Item;https://commons.wikimedia.org/wiki/Category:Buchs_SG_Depot_Building|Wikimedia Commons Category;https://www.openstreetmap.org/way/110362159|OpenStreetMap Object;https://api.geo.admin.ch/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/504138439_0/extendedHtmlPopup|EGID,"Lagerstrasse 12, 9470 Buchs SG",,,Building Height,Rail Infrastructure,renewed,https://www.zotero.org/groups/5400359/sbb-max-vogt/tags/bu001/library|BU001 on Zotero,Buchs SG,47.16481,9.48034,,,record,compound_object,eng,,,compound_object,https://upload.wikimedia.org/wikipedia/commons/f/fb/D-A-CH_Lokomotiven_in_Buchs_SG.jpg,https://commons.wikimedia.org/w/thumb.php?f=D-A-CH_Lokomotiven_in_Buchs_SG.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=D-A-CH_Lokomotiven_in_Buchs_SG.jpg&w=400,,
bu001001,bu001,"Rheintal bei Buchs SG, Blick Richtung Sargans, Industrie, Kieswerk, Depot, Berge",unknown,,,1962-06,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=243171' target='_blank'>C_0087_0077</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=243171&DEID=10&SQNZNR=1,,,,
bu001002,bu001,Luftaufnahme von Buchs SG mit Bahnanlagen,unknown,,,1967-09,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=446400' target='_blank'>P_2628</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=446400&DEID=10&SQNZNR=2,,,,
bu001003,bu001,Luftaufnahme von Buchs SG mit Bahnanlagen,unknown,,,1967-09,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=446399' target='_blank'>P_2627</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=446399&DEID=10&SQNZNR=2,,,,
bu001004,bu001,Buchs SG: Neubau einer Lokomotivremise mit Nebengebäude,unknown,,,1950–1957,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=431711' target='_blank'>GD_BAU_2005/005_757_03</a>,Text,record,de,no license information,,record,https://www.sbbarchiv.ch/detail.aspx?ID=431711,,,,
bu001005,bu001,"Gleisanlagen des Bahnhofs Buchs SG, Blick Richtung Süden, links Strecke nach Österreich",<a href='https://foto-ch.ch/persons/detail/24289' target='_blank'>Alfred Gfeller</a>,,,1981-08,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=710658' target='_blank'>R_7068_11</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=710658&DEID=10&SQNZNR=1,,,,
bu001006,bu001,Ausfahrt eines ÖBB-Reisezugs aus dem Bahnhof Buchs SG Richtung Feldkirch,<a href='https://foto-ch.ch/persons/detail/24289' target='_blank'>Alfred Gfeller</a>,,,1981-08,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=710657' target='_blank'>R_7068_10</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=710657&DEID=10&SQNZNR=1,,,,
bu001007,bu001,D-A-CH Lokomotiven in Buchs SG,<a href='https://commons.wikimedia.org/wiki/User:JoachimKohler-HB' target='_blank'>Joachim Kohler</a>,,,2018-06,,,,,,,,,,,,<a href='https://commons.wikimedia.org/wiki/Category:Buchs_SG_Depot_Building' target='_blank'>Wikimedia Commons</a>,<a href='https://commons.wikimedia.org/wiki/File:D-A-CH_Lokomotiven_in_Buchs_SG.jpg' target='_blank'>D-A-CH_Lokomotiven_in_Buchs_SG</a>,Image;StillImage,image/jpeg,eng,"CC BY-SA 4.0, Joachim Kohler",https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/f/fb/D-A-CH_Lokomotiven_in_Buchs_SG.jpg,https://commons.wikimedia.org/w/thumb.php?f=D-A-CH_Lokomotiven_in_Buchs_SG.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=D-A-CH_Lokomotiven_in_Buchs_SG.jpg&w=400,,
bu001008,bu001,View from Rheinbrücke facing south,Moritz Twente,,,2024-07-21,,,"Depot building south of Buchs SG railway station, designed by Max Vogt and built in 1959, pictured from Rheinbrücke facing south",,,,,,,47.16629,9.479,<a href='https://commons.wikimedia.org/wiki/Category:Buchs_SG_Depot_Building' target='_blank'>Wikimedia Commons</a>,<a href='https://commons.wikimedia.org/wiki/File:BU001_Buchs_MaxVogt_20240721_162725.jpg' target='_blank'>BU001_Buchs_MaxVogt_20240721_162725</a>,Image;StillImage,image/jpeg,eng,"CC BY-SA 4.0, Moritz Twente",https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/a/a4/BU001_Buchs_MaxVogt_20240721_162725.jpg,https://commons.wikimedia.org/w/thumb.php?f=BU001_Buchs_MaxVogt_20240721_162725.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=BU001_Buchs_MaxVogt_20240721_162725.jpg&w=400,,
bu001geo,bu001,Morphological Clusters,Moritz Twente,,,2024-09,,,"This map shows morphological clusters in 1km<sup>2</sup> around Max Vogt's building. Each colour represents one cluster. The map was created with the urban morphology measurement toolkit <a href='https://docs.momepy.org/en/stable/index.html' target='_blank'>momepy</a>. Open the layer settings menu to show historical satellite imagery, railway tracks and other information on the map.",,Morphology,,,,,,,<a href='https://mtwente.github.io/maxvogt-analysis/' target='_blank'>maxvogt-analysis</a>,<a href='https://github.com/mtwente/maxvogt-analysis/blob/main/data/raw/Buchs.geojson' target='_blank'>Buchs.geojson</a>,<a href='http://purl.org/dc/dcmitype/Dataset' target='_blank'>Dataset</a>,application/geo+json,,"CC BY-SA 4.0, Moritz Twente",https://creativecommons.org/licenses/by-sa/4.0/,geodata,https://raw.githubusercontent.com/mtwente/maxvogt-analysis/refs/heads/main/data/raw/Buchs.geojson,,,,
