objectid,parentid,title,creator,date,date-is-approximate?,wikidata,commons,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
fb023,,Feldbach ZH,,1966,,<a href='https://www.wikidata.org/wiki/Q126118808' target='_blank'> Service Station Feldbach ZH (Q126118808)</a>,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Category: Feldbach Station Service Building</a>,Feldbach Station Service Building by Max Vogt in Feldbach ZH. Description description description...,Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Feldbach Station Service Building Category at Wikimedia Commons</a>,,record,compound_object,eng,,,compound_object,,,,,
fb023001,fb023,Station Service Building 1,Moritz Twente,1966,,,,"View of Platform 2 at Feldbach ZH railway station, showing a SBB RABe 511 on S-Bahn Zürich's S7 service heading north and parts of the buildings belonging to the train station. The single-storey building to the right was designed by Max Vogt for SBB.",Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Feldbach Station Service Building Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/e/ed/FB023_Feldbach_MaxVogt_20240504_161624.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/FB023_Feldbach_MaxVogt_20240504_161624.jpg/320px-FB023_Feldbach_MaxVogt_20240504_161624.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/FB023_Feldbach_MaxVogt_20240504_161624.jpg/320px-FB023_Feldbach_MaxVogt_20240504_161624.jpg,,
fb023002,fb023,Station Service Building 2,Moritz Twente,1966,,,,"View of a service building at Feldbach ZH railway station (looking south-west), designed by Max Vogt. Today, it houses public toilets and a few vending machines as well as providing shelter in form of its extended roof",Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Feldbach Station Service Building Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/a/a4/FB023_Feldbach_MaxVogt_20240504_161649.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/FB023_Feldbach_MaxVogt_20240504_161649.jpg/320px-FB023_Feldbach_MaxVogt_20240504_161649.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/FB023_Feldbach_MaxVogt_20240504_161649.jpg/320px-FB023_Feldbach_MaxVogt_20240504_161649.jpg,,
fb023003,fb023,Station Service Building 3,Moritz Twente,1966,,,,"Detail view of a service building at Feldbach ZH railway station, designed by Max Vogt. Today, it houses public toilets and a few vending machines as well as providing shelter in form of its extended roof. Facing north, the building stands in front of platform 2. Visible is the entry to the WC facilities and the western side of the building, providing shelter thanks to an extended roof",Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Feldbach Station Service Building Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/f/fb/FB023_Feldbach_MaxVogt_20240504_161732.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/FB023_Feldbach_MaxVogt_20240504_161732.jpg/360px-FB023_Feldbach_MaxVogt_20240504_161732.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/FB023_Feldbach_MaxVogt_20240504_161732.jpg/180px-FB023_Feldbach_MaxVogt_20240504_161732.jpg,,
fb023004,fb023,Station Service Building 4,Moritz Twente,1966,,,,"Detail view of a service building at Feldbach ZH railway station, designed by Max Vogt. Today, it houses public toilets and a few vending machines as well as providing shelter in form of its extended roof. Facing south, the building overlooks Lake Zurich and the mountains to the south. Visible is the western side of the building, providing shelter thanks to an extended roof",Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Feldbach Station Service Building Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/c/cb/FB023_Feldbach_MaxVogt_20240504_161841.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/FB023_Feldbach_MaxVogt_20240504_161841.jpg/360px-FB023_Feldbach_MaxVogt_20240504_161841.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/FB023_Feldbach_MaxVogt_20240504_161841.jpg/180px-FB023_Feldbach_MaxVogt_20240504_161841.jpg,,
fb023005,fb023,Station Service Building 5,Moritz Twente,1966,,,,"View of a service building at Feldbach ZH railway station (looking north-east), designed by Max Vogt. Today, it houses public toilets and a few vending machines as well as providing shelter in form of its extended roof.",Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Feldbach Station Service Building Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/2/2f/FB023_Feldbach_MaxVogt_20240504_162159.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/FB023_Feldbach_MaxVogt_20240504_162159.jpg/320px-FB023_Feldbach_MaxVogt_20240504_162159.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/FB023_Feldbach_MaxVogt_20240504_162159.jpg/320px-FB023_Feldbach_MaxVogt_20240504_162159.jpg,,
fb023006,fb023,Station Service Building 6,Moritz Twente,1966,,,,"View of platforms 2 and 3 at Feldbach ZH railway station, overlooking the tracks with the train station's buildings in the background – to the right is Feldbach's former station building, and in the background to the left there is a single-storey service building designed by Max Vogt",Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Feldbach Station Service Building Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/d/d8/FB023_Feldbach_MaxVogt_20240504_162629.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/FB023_Feldbach_MaxVogt_20240504_162629.jpg/360px-FB023_Feldbach_MaxVogt_20240504_162629.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/FB023_Feldbach_MaxVogt_20240504_162629.jpg/180px-FB023_Feldbach_MaxVogt_20240504_162629.jpg,,
fb023007,fb023,Station Service Building 7,Roland zh,1966,,,,test test,Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://commons.wikimedia.org/wiki/Category:Feldbach_Station_Service_Building' target='_blank'>Feldbach Station Service Building Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,image,https://upload.wikimedia.org/wikipedia/commons/9/91/Feldbach_IMG_7850.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Feldbach_IMG_7850.JPG/640px-Feldbach_IMG_7850.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Feldbach_IMG_7850.JPG/320px-Feldbach_IMG_7850.JPG,,
fb023008,fb023,Station Service Building 8,Hans-Rudolf Berner,1966,,,,test test,Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://www.sbbarchiv.ch/detail.aspx?id=497859' target='_blank'>SBB-Archiv</a>,F_122_00370_007,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/8/89/SBB_Historic_-_F_122_00370_007_-_Feldbach_Stationsgebaeude_mit_Gueterschuppen_Strassenseite.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/SBB_Historic_-_F_122_00370_007_-_Feldbach_Stationsgebaeude_mit_Gueterschuppen_Strassenseite.jpg/640px-SBB_Historic_-_F_122_00370_007_-_Feldbach_Stationsgebaeude_mit_Gueterschuppen_Strassenseite.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/SBB_Historic_-_F_122_00370_007_-_Feldbach_Stationsgebaeude_mit_Gueterschuppen_Strassenseite.jpg/320px-SBB_Historic_-_F_122_00370_007_-_Feldbach_Stationsgebaeude_mit_Gueterschuppen_Strassenseite.jpg,,
fb023009,fb023,Inventar historischer Bahnhöfe: Feldbach,Hans-Peter Bärtschi,1983,yes,,,"Dossier im SBB-Archiv, dortige Beschreibung: Information zu Bauherrschaft, Umbauten und zusätzliche Gebäude, Schutzziel betreffend Erhaltung des Bahnhofs, Fotodokumentation, Bewertung der Ursprünglichkeit",Inventory;Conservation Report,Feldbach ZH,47.23927,8.78385,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=539243' target='_blank'>SBB-Archiv</a>,GD_BAU_SBB64_0596,Text;Image;StillImage,application/pdf,de;fr,,,pdf,https://www.sbbarchiv.ch/Dateien/113/D565776.pdf,,,,
fb023010,fb023,"Bahnhof Feldbach, 1976.07.24",,1976-07-24,,,,"Bahnhof Feldbach, 24.07.1976. Keine Informationen zur Autor*innenschaft",Service Building,Feldbach ZH,47.23927,8.78385,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=328445' target='_blank'>SBB-Archiv</a>,AIII_FB_2342,Image;StillImage,image/jpeg,eng,,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=328445&DEID=10&SQNZNR=1,,,,
hi098,,Hinwil ZH (Fountain),,1960,,<a href='https://www.wikidata.org/wiki/Q124728221' target='_blank'> Former Station Fountain (Q124728221)</a>,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Category: Hinwil Former Station Fountain</a>,The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station.,Fountain;Relocation,Hinwil ZH,47.29865,8.84479,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,record,compound_object,eng,,,compound_object,,,,,
hi098001,hi098,Former Station Fountain 1,,1960,,,,"The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station and placed here. The photo shows the fountain on the western side of the road, looking north into Gstaldenstrasse. The fountain is empty, presumably because water supply is turned off during winter",Fountain;Relocation,Hinwil ZH,47.29865,8.84479,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/5/56/HI098_Hinwil_MaxVogt_20240302_180117.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/HI098_Hinwil_MaxVogt_20240302_180117.jpg/640px-HI098_Hinwil_MaxVogt_20240302_180117.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/HI098_Hinwil_MaxVogt_20240302_180117.jpg/320px-HI098_Hinwil_MaxVogt_20240302_180117.jpg,,
hi098002,hi098,Former Station Fountain 2,,1960,,,,"The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station and placed here. The photo shows the fountain on the western side of the road, looking northwest into Gstaldenstrasse facing a residential building at Gstaldenstrasse 20. The fountain is empty, presumably because water supply is turned off during winter",Fountain;Relocation,Hinwil ZH,47.29869,8.8448,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/d/d6/HI098_Hinwil_MaxVogt_20240302_180130.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/HI098_Hinwil_MaxVogt_20240302_180130.jpg/640px-HI098_Hinwil_MaxVogt_20240302_180130.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/HI098_Hinwil_MaxVogt_20240302_180130.jpg/320px-HI098_Hinwil_MaxVogt_20240302_180130.jpg,,
hi098003,hi098,Former Station Fountain 3,,1960,,,,The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station and placed here. This photo is a close-up of the fountain's outer wall which is facing Gstaldenstrasse and features an interpretation of the Hinwil municipality's coat of arms using patterns to represent colours,Fountain;Relocation;Coat of Arms,Hinwil ZH,47.29874,8.8448,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/0/00/HI098_Hinwil_MaxVogt_20240302_180218.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/HI098_Hinwil_MaxVogt_20240302_180218.jpg/640px-HI098_Hinwil_MaxVogt_20240302_180218.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/HI098_Hinwil_MaxVogt_20240302_180218.jpg/320px-HI098_Hinwil_MaxVogt_20240302_180218.jpg,,
hi098004,hi098,Former Station Fountain 4,,1960,,,,"The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station and placed here. This photo is a close-up of the faucet itself. The fountain is empty, presumably because water supply is turned off during winter",Fountain;Relocation,Hinwil ZH,47.29874,8.84477,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/e/e5/HI098_Hinwil_MaxVogt_20240302_180302.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/HI098_Hinwil_MaxVogt_20240302_180302.jpg/360px-HI098_Hinwil_MaxVogt_20240302_180302.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/HI098_Hinwil_MaxVogt_20240302_180302.jpg/180px-HI098_Hinwil_MaxVogt_20240302_180302.jpg,,
hi098005,hi098,Former Station Fountain 5,,1960,,,,"The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station and placed here. The photo shows the fountain on the western side of the road, looking north into Gstaldenstrasse with the apartment complex Gstaldenstrasse 11–15 visible in the background. The fountain is empty, presumably because water supply is turned off during winter",Fountain;Relocation,Hinwil ZH,47.29874,8.8448,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/d/da/HI098_Hinwil_MaxVogt_20240302_180329.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/HI098_Hinwil_MaxVogt_20240302_180329.jpg/640px-HI098_Hinwil_MaxVogt_20240302_180329.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/HI098_Hinwil_MaxVogt_20240302_180329.jpg/320px-HI098_Hinwil_MaxVogt_20240302_180329.jpg,,
hi098006,hi098,Former Station Fountain 6,,1960,,,,"The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station and placed here. This photo is a close-up of the fountain's outer wall which is facing Gstaldenstrasse and features an interpretation of the Hinwil municipality's coat of arms using patterns to represent colours. The fountain is empty, presumably because water supply is turned off during winter",Fountain;Relocation;Coat of Arms,Hinwil ZH,47.29874,8.8448,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/8/86/HI098_Hinwil_MaxVogt_20240302_180428.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/HI098_Hinwil_MaxVogt_20240302_180428.jpg/360px-HI098_Hinwil_MaxVogt_20240302_180428.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/HI098_Hinwil_MaxVogt_20240302_180428.jpg/180px-HI098_Hinwil_MaxVogt_20240302_180428.jpg,,
hi098007,hi098,Former Station Fountain 7,,1960,,,,"The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station and placed here. This photo is a close-up of the fountain's outer wall which is facing Gstaldenstrasse and features an interpretation of the Hinwil municipality's coat of arms using patterns to represent colours. The fountain is empty, presumably because water supply is turned off during winter",Fountain;Relocation;Coat of Arms,Hinwil ZH,47.29874,8.84483,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/5/51/HI098_Hinwil_MaxVogt_20240302_180531.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/HI098_Hinwil_MaxVogt_20240302_180531.jpg/360px-HI098_Hinwil_MaxVogt_20240302_180531.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/HI098_Hinwil_MaxVogt_20240302_180531.jpg/180px-HI098_Hinwil_MaxVogt_20240302_180531.jpg,,
hi098008,hi098,Former Station Fountain 8,,1960,,,,"The concrete fountain which today is located at the intersection of Zihlstrasse and Gstaldenstrasse in Hinwil was designed by Max Vogt as part of the Hinwil railway station. It has since been moved away from the railway station and placed here. The photo shows the fountain from the northeastern side of the intersection, overlooking both roads and facing west. The residential building to the right is Gstaldenstrasse 20",Fountain;Relocation,Hinwil ZH,47.29879,8.84513,<a href='https://commons.wikimedia.org/wiki/Category:Hinwil_Former_Station_Fountain' target='_blank'>Hinwil Former Station Fountain Category at Wikimedia Commons</a>,,Image;StillImage,image/jpeg,eng,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/1/1b/HI098_Hinwil_MaxVogt_20240302_180614.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/HI098_Hinwil_MaxVogt_20240302_180614.jpg/640px-HI098_Hinwil_MaxVogt_20240302_180614.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/HI098_Hinwil_MaxVogt_20240302_180614.jpg/320px-HI098_Hinwil_MaxVogt_20240302_180614.jpg,,
